Trace
Swept SA
A.25.05,N9030A
3400000,-84.30059138317
3450000,-86.0364630565613
3500000,-99.0565513507207
3550000,-104.571459187635
3600000,-92.8278602496435
3650000,-96.9030326739629
3700000,-92.1413291827435
3750000,-97.6503623858769
3800000,-93.5082115069696
3850000,-93.3089927569693
3900000,-88.735430133347
3950000,-90.8350929156001
4000000,-93.3852714434929
4050000,-99.9915641681035
4100000,-95.3158439532597
4150000,-100.189157857068
4200000,-93.9862464801147
4250000,-95.4575370684941
4300000,-92.1620277301072
4350000,-96.2372001544316
4400000,-92.1031364337197
4450000,-98.7013420001347
4500000,-96.274530781873
4550000,-98.035387410291
4600000,-90.2163490190197
4650000,-88.1731742719028
4700000,-88.39728010792
4750000,-94.9616798297245
4800000,-95.3540824786503
4850000,-95.1805900470097
4900000,-87.7018226445651
4950000,-102.637148274549
5000000,-91.6858085528526
5050000,-92.8736137286477
5100000,-85.7470877012114
5150000,-90.046610249443
5200000,-98.6381629840215
5250000,-98.5493873492558
5300000,-86.8397925948692
5350000,-91.2679313555722
5400000,-88.2482246263188
5450000,-90.5604804888116
5500000,-96.6290000811894
5550000,-108.129434956678
5600000,-89.684145344506
5650000,-89.5240730177469
5700000,-89.5176109205743
5750000,-95.9528602496464
5800000,-89.9008048905047
5850000,-92.3247703448551
5900000,-90.5948814287577
5950000,-100.026468648084
6000000,-92.3009590045228
6050000,-103.040003193982
6100000,-90.5499061479896
6150000,-90.7323173418603
6200000,-89.1795448191869
6250000,-98.9705146685918
6300000,-92.1570609942673
6350000,-96.1148475543339
6400000,-92.1595634356736
6450000,-101.594828023084
6500000,-95.1495841876347
6550000,-104.683321370252
6600000,-98.046991719373
6650000,-99.0606178180058
6700000,-91.9605430499286
6750000,-98.2444023028691
6800000,-95.0122932330448
6850000,-96.7895225421269
6900000,-95.5829032794316
6950000,-101.479448689588
7000000,-97.378649129041
7050000,-102.087534321912
7100000,-92.0873969928016
7150000,-94.0755485431031
7200000,-91.2755912676817
7250000,-98.8558753863652
7300000,-97.088495625623
7350000,-99.8696464434941
7400000,-91.8376716510005
7450000,-104.439775838025
7500000,-93.21376265443
7550000,-96.0154899493535
7600000,-93.2699149981802
7650000,-97.143915547498
7700000,-94.9436591998417
7750000,-104.504595173963
7800000,-99.1044334307988
7850000,-98.8965934649785
7900000,-94.0005897418335
7950000,-96.3665031329472
8000000,-102.767206563123
8050000,-102.655130757459
8100000,-98.2789558307012
8150000,-100.330530537732
8200000,-93.3769248858757
8250000,-98.3116554156621
8300000,-93.4144081012078
8350000,-98.4057258502324
8400000,-95.6397956744511
8450000,-98.8106788531621
8500000,-95.3377326861698
8550000,-100.420923604139
8600000,-97.9798301593144
8650000,-115.99495924867
8700000,-98.3237785235722
8750000,-100.98829115785
8800000,-99.0734199420293
8850000,-103.287172688611
8900000,-96.4019187823613
8950000,-104.649011983045
9000000,-96.7899650470097
9050000,-98.7335075274785
9100000,-97.2662071124394
9150000,-99.7278770343144
9200000,-95.3774207965214
9250000,-101.561540974744
9300000,-94.6873115435916
9350000,-98.2594703570683
9400000,-95.2267555133183
9450000,-101.535822285779
9500000,-95.3781532183964
9550000,-102.239153279432
9600000,-93.2365440265005
9650000,-98.4248298541387
9700000,-93.1446784869495
9750000,-103.323183430799
9800000,-99.7113365069707
9850000,-100.743555440076
9900000,-97.5579704181035
9950000,-103.482660664686
10000000,-100.210359944471
10050000,-100.163835896619
10100000,-96.5389121905644
10150000,-103.827791585096
10200000,-98.1494544879277
10250000,-101.882715596326
10300000,-98.4804710284551
10350000,-106.973917378553
10400000,-96.9109443560918
10450000,-96.7865241900761
10500000,-94.3779167071657
10550000,-110.490442647107
10600000,-98.6886161700566
10650000,-98.528177632459
10700000,-96.028437031873
10750000,-109.257074727186
10800000,-96.1646980182011
10850000,-99.7223075763066
10900000,-95.9077705279667
10950000,-99.5021232501347
11000000,-94.7762626544315
11050000,-97.7319587603887
11100000,-94.797136677869
11150000,-100.4956153766
11200000,-95.4463828936894
11250000,-108.418527974256
11300000,-102.638765706189
11350000,-105.784075154432
11400000,-101.330141438611
11450000,-105.798334492811
11500000,-101.486246480115
11550000,-103.837824238904
11600000,-97.0144523516972
11650000,-104.136507405408
11700000,-97.6548789874394
11750000,-106.710550679334
11800000,-97.1583579913457
11850000,-105.50113905824
11900000,-96.9411109820683
11950000,-109.594293965467
12000000,-102.377001179822
12050000,-102.249636067518
12100000,-98.7849296466191
12150000,-111.809252156385
12200000,-98.9167808429082
12250000,-98.8842185870488
12300000,-97.2414192096074
12350000,-109.418360127576
12400000,-98.0839561358769
12450000,-98.1925071612676
12500000,-96.7834113971074
12550000,-96.8904899493535
12600000,-95.7562660113652
12650000,-105.945207966932
12700000,-98.9028266803105
12750000,-108.249529255994
12800000,-101.181429280408
12850000,-102.395319356092
12900000,-99.3407081500371
12950000,-99.1031059161504
13000000,-95.6295722857792
13050000,-101.51693190492
13100000,-93.9424537555054
13150000,-103.841829671033
13200000,-100.574816121228
13250000,-119.757173909314
13300000,-102.150820149549
13350000,-101.895578755506
13400000,-95.7387946978886
13450000,-96.7432350055058
13500000,-95.8067039386113
13550000,-98.382440938123
13600000,-94.9184669390995
13650000,-96.760729207166
13700000,-98.1002982989629
13750000,-99.9991554156621
13800000,-98.0792869464238
13850000,-100.218462361463
13900000,-98.7138313189824
13950000,-100.315775288709
14000000,-102.869455708631
14050000,-106.418978108533
14100000,-94.7648719683963
14150000,-99.220575703748
14200000,-95.7573341265996
14250000,-103.602564229139
14300000,-100.123888386853
14350000,-108.376268757947
14400000,-104.178095234998
14450000,-104.138185872205
14500000,-98.8155616656621
14550000,-101.035585774549
14600000,-98.402819050916
14650000,-102.754900349744
14700000,-99.9486869708379
14750000,-100.576105488904
14800000,-100.004839314588
14850000,-106.531595601209
14900000,-98.0428565875371
14950000,-101.038240803846
15000000,-98.1695655719121
15050000,-98.9094261065801
15100000,-98.2440894976933
15150000,-104.620180501111
15200000,-95.4001792804081
15250000,-96.3472923175175
15300000,-95.3821052447636
15350000,-103.184702290662
15400000,-95.6227210894902
15450000,-101.571817769178
15500000,-97.2479652301152
15550000,-106.970217122205
15600000,-98.6145118609746
15650000,-98.5356544390996
15700000,-96.3769248858769
15750000,-99.0437873736699
15800000,-96.8189185992558
15850000,-100.797640217908
15900000,-97.0095619098027
15950000,-115.645128621228
16000000,-98.3503822223027
16050000,-104.406771077283
16100000,-102.407526387342
16150000,-106.127558125623
16200000,-95.2561591998417
16250000,-106.191057576307
16300000,-95.9186347857792
16350000,-108.477007283338
16400000,-98.4867957965215
16450000,-98.3961814776738
16500000,-96.8841956988652
16550000,-99.6679176226933
16600000,-103.467317952283
16650000,-103.918352498182
16700000,-95.1260856524784
16750000,-99.9514564410527
16800000,-99.2787727252324
16850000,-104.934625996717
16900000,-98.6881812945683
16950000,-110.772524251111
17000000,-105.036127461561
17050000,-112.369104756482
17100000,-95.8519157306035
17150000,-99.4764045611699
17200000,-95.1797508136112
17250000,-105.284906758436
17300000,-95.182245625623
17350000,-101.553194417127
17400000,-95.7410987750371
17450000,-100.115221394666
17500000,-104.722315205701
17550000,-110.742700947889
17600000,-98.4073051349004
17650000,-98.2593635455449
17700000,-93.8803962603881
17750000,-96.8081611529668
17800000,-94.1121925250367
17850000,-99.3314918414433
17900000,-98.0010398761113
17950000,-100.605432881482
18000000,-95.542971028455
18050000,-101.320825947889
18100000,-93.6478675738645
18150000,-92.0278495684852
18200000,-92.4281715289385
18250000,-99.6611961261113
18300000,-101.496111287244
18350000,-101.409906758436
18400000,-97.8739112750371
18450000,-93.438349141247
18500000,-91.1928962603568
18550000,-88.62186659566
18600000,-88.8722633246998
18650000,-101.164591206678
18700000,-95.9639610186894
18750000,-109.177164448865
18800000,-96.1737159625371
18850000,-109.764673604139
18900000,-100.619646443494
18950000,-108.184862507947
19000000,-100.940370930799
19050000,-102.108698262342
19100000,-93.7845939532591
19150000,-99.6175636187871
19200000,-93.2042869464223
19250000,-108.155619038709
19300000,-98.1220420733769
19350000,-101.253389729627
19400000,-98.2480186358769
19450000,-112.947992695936
19500000,-95.6076835528691
19550000,-99.3203681842168
19600000,-94.0410941974
19650000,-100.248148335584
19700000,-97.6278861895879
19750000,-101.893236531385
19800000,-97.2445396319707
19850000,-107.285028828748
19900000,-92.7389396563818
19950000,-95.2264808551151
20000000,-100.946276082166
20050000,-100.774813069471
20100000,-98.5183433429082
20150000,-101.698931111463
20200000,-99.0044349566777
20250000,-115.619654072889
20300000,-98.3109458819707
20350000,-107.098368062146
20400000,-96.5260871783574
20450000,-100.202753438123
20500000,-96.52417220033
20550000,-101.037935628064
20600000,-93.3767417804071
20650000,-94.7236579791385
20700000,-93.2293113604849
20750000,-94.7761329547245
20800000,-92.7283805743505
20850000,-97.7948173419316
20900000,-95.5096763507206
20950000,-108.797846211561
21000000,-99.9056266681035
21050000,-104.204058064588
21100000,-97.9017585650762
21150000,-98.0205940142949
21200000,-97.1935752765019
21250000,-102.013803853162
21300000,-97.1549171344121
21350000,-94.5096610919314
21400000,-94.4888633624392
21450000,-102.180490864881
21500000,-98.2439521685918
21550000,-115.154619588025
21600000,-98.5242561236699
21650000,-106.992716206678
21700000,-99.3572410479863
21750000,-105.978060139783
21800000,-100.185808552869
21850000,-101.955316914686
21900000,-100.269884480603
21950000,-104.943865193494
22000000,-95.4828056231816
22050000,-95.4473136798222
22100000,-93.8757957354858
22150000,-102.852091206678
22200000,-97.7719901934941
22250000,-109.305132283338
22300000,-93.730135335095
22350000,-96.2963203326543
22400000,-97.4741996661504
22450000,-107.459566487439
22500000,-96.9806159869511
22550000,-99.6687950030644
22600000,-96.0357841388066
22650000,-100.226175679334
22700000,-95.8347114459355
22750000,-97.9356788531621
22800000,-98.6160072223027
22850000,-98.3975089923222
22900000,-94.9813102618534
22950000,-106.257219685682
23000000,-99.1428169146855
23050000,-107.522341145643
23100000,-99.0446266070683
23150000,-104.651979817518
23200000,-96.8393806353886
23250000,-99.5621055499394
23300000,-96.3972495929082
23350000,-112.034273518689
23400000,-100.665315999158
23450000,-100.476221455701
23500000,-97.8243507281621
23550000,-107.114466084607
23600000,-100.152925862439
23650000,-100.029238118299
23700000,-93.402834309704
23750000,-92.9792884723007
23800000,-93.0643257037463
23850000,-96.3896888629277
23900000,-97.8887428180058
23950000,-113.39348067201
24000000,-99.3633216754277
24050000,-105.682817830213
24100000,-98.9131034747441
24150000,-104.847490681775
24200000,-102.033205403455
24250000,-111.081522359021
24300000,-102.148882283338
24350000,-108.338297261365
24400000,-99.4409431353887
24450000,-103.73275221742
24500000,-99.4794563189824
24550000,-103.957201375135
24600000,-100.056673421033
24650000,-104.564554585584
24700000,-102.505777730115
24750000,-106.253733052381
24800000,-97.8737739459355
24850000,-103.586214436658
24900000,-98.7765678302129
24950000,-104.910128010877
25000000,-101.353556050428
25050000,-100.971247090467
25100000,-94.1237052813844
25150000,-94.866587056287
25200000,-95.8960975543339
25250000,-100.56794966615
25300000,-96.6050285235722
25350000,-110.78255690492
25400000,-100.865183247693
25450000,-100.654848469861
25500000,-94.9067710772831
25550000,-96.3346198932011
25600000,-97.4861244098027
25650000,-98.5700172320683
25700000,-101.50374831117
25750000,-110.547731770643
25800000,-94.645037068494
25850000,-99.9136604205449
25900000,-94.1097282306031
25950000,-105.919283284314
26000000,-98.0178474322637
26050000,-111.736765278943
26100000,-102.907831563123
26150000,-102.580652608045
26200000,-95.0444740191776
26250000,-96.3775047198613
26300000,-97.0314659015019
26350000,-110.038965596326
26400000,-98.2188438311894
26450000,-100.918863667615
26500000,-91.6019309893762
26550000,-92.7901862994485
26600000,-103.018892659314
26650000,-115.915422810682
26700000,-98.1129173175176
26750000,-107.170870198377
26800000,-95.8563865557988
26850000,-102.155382527478
26900000,-97.3671363726933
26950000,-103.261186970838
27000000,-95.3700355426152
27050000,-99.3069557086308
27100000,-104.350679768689
27150000,-104.248384846814
27200000,-100.868280781873
27250000,-106.211130513318
27300000,-105.624506367811
27350000,-110.804941548475
27400000,-99.9850639239629
27450000,-100.304621113904
27500000,-98.9382347003301
27550000,-106.991533650525
27600000,-97.4181083575566
27650000,-101.804811848768
27700000,-97.5817283526738
27750000,-104.1563285724
27800000,-97.9849265948613
27850000,-103.848116292127
27900000,-96.759508504041
27950000,-97.7214073077519
28000000,-94.4360984698611
28050000,-101.866167439588
28100000,-98.5455879107793
28150000,-104.31543959535
28200000,-96.4816078082402
28250000,-105.330103291639
28300000,-96.9707969561894
28350000,-99.5120719806035
28400000,-93.4266609088252
28450000,-99.6462882891972
28500000,-93.7975257769896
28550000,-105.034563435682
28600000,-99.0498374835332
28650000,-100.623934163221
28700000,-94.2651237384157
28750000,-104.364481343396
28800000,-99.0500205890019
28850000,-98.8205818072637
28900000,-92.8417304889019
28950000,-101.202234639295
29000000,-95.6033500567753
29050000,-101.325426472791
29100000,-95.1474098101933
29150000,-96.8413032428105
29200000,-94.4460014239627
29250000,-101.693071736463
29300000,-96.2367652789433
29350000,-102.064676655896
29400000,-95.3244346515019
29450000,-105.166567219861
29500000,-101.029467000135
29550000,-109.638376607068
29600000,-97.9997810260137
29650000,-105.971498860486
29700000,-96.85962141908
29750000,-98.213236226209
29800000,-96.8446449176152
29850000,-97.9314750567754
29900000,-100.174364461072
29950000,-100.055902852186
30000000,-97.3210624591191
30050000,-104.004434956678
30100000,-97.3420966998418
30150000,-108.826815022596
30200000,-100.401361836561
30250000,-100.13443983949
30300000,-96.2384055987675
30350000,-101.387232197889
30400000,-97.8344062701543
30450000,-97.6953681842168
30500000,-95.1810096637089
30550000,-95.0956214801151
30600000,-93.7990516558959
30650000,-104.3364356891
30700000,-98.8668998614629
30750000,-100.385874165662
30800000,-96.5376075640996
30850000,-102.190599812635
30900000,-92.9537757769882
30950000,-96.2909873858769
31000000,-92.3684944049149
31050000,-99.0430473224004
31100000,-95.5299095050175
31150000,-100.874964131482
31200000,-95.8169959918339
31250000,-99.1336234942754
31300000,-95.4463065997441
31350000,-100.425363911756
31400000,-97.3076270953496
31450000,-100.458895100721
31500000,-97.918817891248
31550000,-111.124750508436
31600000,-99.1091407672246
31650000,-98.8378089801152
31700000,-95.6656822100956
31750000,-98.0923026934941
31800000,-97.6107810870488
31850000,-108.910295857557
31900000,-100.207033528455
31950000,-100.03198470033
32000000,-96.3005699054082
32050000,-106.96362532533
32100000,-95.9203285113652
32150000,-98.8555320636113
32200000,-97.3561195269902
32250000,-109.134073628553
32300000,-96.3328117266972
32350000,-98.9372886554082
32400000,-95.8768714801152
32450000,-101.565882100232
32500000,-95.9133399859746
32550000,-98.2047370807012
32600000,-94.2829765216188
32650000,-100.232149495252
32700000,-96.9064201251347
32750000,-105.00822676576
32800000,-99.5754341021855
32850000,-106.768122090467
32900000,-99.619257344373
32950000,-111.213472737439
33000000,-100.09594954408
33050000,-106.677904500135
33100000,-92.3920692340167
33150000,-98.1303123370488
33200000,-91.9567130938755
33250000,-98.118280781873
33300000,-95.5510047808964
33350000,-107.201082600721
33400000,-98.7484382525762
33450000,-98.6027854815801
33500000,-95.1638740435917
33550000,-101.565035237439
33600000,-96.2336677447636
33650000,-102.803125752576
33700000,-97.9693092242558
33750000,-99.2068046466191
33800000,-97.5876029864629
33850000,-105.829042805799
33900000,-101.65299452699
33950000,-105.964723958143
34000000,-99.1421684161504
34050000,-99.0325263873418
34100000,-94.8057655230838
34150000,-96.7488044635136
34200000,-95.0847648516972
34250000,-105.763254536756
34300000,-101.355707539686
34350000,-102.022150410779
34400000,-97.3669227496465
34450000,-104.226686848768
34500000,-97.7208885089238
34550000,-99.6947883502324
34600000,-97.5346702472051
34650000,-108.672495259412
34700000,-103.363176716932
34750000,-108.630327595838
34800000,-97.4709113971074
34850000,-107.578356160291
34900000,-99.7158683673222
34950000,-99.629007710584
35000000,-95.5977424517949
35050000,-95.366831196912
35100000,-90.9688362017532
35150000,-98.0909675494512
35200000,-100.741739644178
35250000,-100.957674397596
35300000,-94.854624165662
35350000,-96.0979942218144
35400000,-94.8594917193729
35450000,-107.226862324842
35500000,-96.3430503741582
35550000,-92.6175178424166
35600000,-91.3599037066548
35650000,-92.236544026496
35700000,-97.2604316607793
35750000,-97.3007148639043
35800000,-95.4117912188847
35850000,-95.8121894732792
35900000,-95.405634297498
35950000,-108.028765095838
36000000,-100.582247151502
36050000,-100.410135640271
36100000,-96.4376624957402
36150000,-102.910845173963
36200000,-98.6892341510137
36250000,-104.327524556287
36300000,-100.038301839002
36350000,-106.24984206117
36400000,-95.4211524859745
36450000,-101.995752705701
36500000,-95.5112708941777
36550000,-104.547174824842
36600000,-96.0908607379277
36650000,-95.9643119708378
36700000,-94.0893501178102
36750000,-96.2580055133183
36800000,-98.7478355304082
36850000,-103.684267415174
36900000,-100.755403889783
36950000,-102.283930195936
37000000,-97.469225300916
37050000,-105.486505879529
37100000,-92.7624153033547
37150000,-103.152071370252
37200000,-93.0612586871448
37250000,-101.332826985486
37300000,-97.9233192340215
37350000,-99.1431754962285
37400000,-96.2826637164433
37450000,-111.245836629041
37500000,-101.314493550428
37550000,-113.128466023572
37600000,-97.1508048907597
37650000,-94.8980888263065
37700000,-94.8369468585331
37750000,-95.1807578936894
37800000,-93.7048667804076
37850000,-111.136690510877
37900000,-96.4782432452519
37950000,-99.6398033038457
38000000,-93.2471794024772
38050000,-112.489153279432
38100000,-93.8216270343139
38150000,-108.376169575818
38200000,-94.9384559527714
38250000,-100.540003193982
38300000,-98.1322120562871
38350000,-105.542436970838
38400000,-94.9004157916386
38450000,-94.7834266558963
38500000,-93.6059135333371
38550000,-109.195986165174
38600000,-100.202425374158
38650000,-97.9607337848027
38700000,-97.9613288775762
38750000,-98.5910362140019
38800000,-97.1129402057011
38850000,-103.435457600721
38900000,-100.877001179822
38950000,-103.256586445936
39000000,-96.2943977252324
39050000,-98.1646751300176
39100000,-101.43059004701
39150000,-103.178133381971
39200000,-100.923212422498
39250000,-112.49096907533
39300000,-106.052790059217
39350000,-113.162424458631
39400000,-101.563516987928
39450000,-107.403917683728
39500000,-98.9409889117558
39550000,-98.7446235553105
39600000,-95.3667167559941
39650000,-103.625055684217
39700000,-96.4342979327519
39750000,-114.768625630506
39800000,-98.8306526080449
39850000,-98.627672566541
39900000,-95.8061088458378
39950000,-99.2366584674199
40000000,-94.6982826129276
40050000,-94.5026496783572
40100000,-92.6916297808935
40150000,-106.180513753064
40200000,-95.665644063123
40250000,-110.096712483533
40300000,-96.0791343585332
40350000,-104.629984273084
40400000,-100.509790791639
40450000,-103.908731831678
40500000,-97.2405113116582
40550000,-105.348192586072
40600000,-101.391893757947
40650000,-102.927774800428
40700000,-93.6946281329466
40750000,-99.4732917682012
40800000,-91.2058509722743
40850000,-99.6795295611699
40900000,-91.4003318682777
40950000,-101.01831282533
41000000,-96.7621559039433
41050000,-106.730692280896
41100000,-100.512255086072
41150000,-100.429071797498
41200000,-98.3791908160527
41250000,-100.106157673963
41300000,-95.236330403455
41350000,-97.1580528155644
41400000,-95.2389930621464
41450000,-101.354998005994
41500000,-96.4160789386113
41550000,-98.4921363726933
41600000,-100.933458699353
41650000,-105.607515706189
41700000,-93.4750465289425
41750000,-96.8012336627324
41800000,-93.4821189776729
41850000,-99.6708778277715
41900000,-95.0626930133183
41950000,-109.775980366834
42000000,-99.4639457599004
42050000,-116.020456685193
42100000,-99.8098243609746
42150000,-108.661997212537
42200000,-101.458750142225
42250000,-106.27905501283
42300000,-96.5402778521855
42350000,-102.759905232557
42400000,-96.6281913653691
42450000,-106.211626423963
42500000,-101.717348469861
42550000,-101.595941914686
42600000,-94.9732917682011
42650000,-108.850962056287
42700000,-104.773394002088
42750000,-105.856554402478
42800000,-99.2361091510137
42850000,-99.090448750623
42900000,-97.8519462481816
42950000,-102.273180379041
43000000,-96.7808631793339
43050000,-96.5374626056035
43100000,-92.9324592486679
43150000,-102.498255147107
43200000,-95.7300819293339
43250000,-103.864954365857
43300000,-94.3099082843142
43350000,-98.5180152789433
43400000,-97.9497703448613
43450000,-98.8175910846074
43500000,-93.7633003131225
43550000,-105.504503621228
43600000,-96.0347083941777
43650000,-99.2058204547246
43700000,-97.2639793292363
43750000,-100.68791426576
43800000,-97.7913917437871
43850000,-100.76627577699
43900000,-96.7820457354863
43950000,-100.18392409242
44000000,-97.6989692584355
44050000,-98.5954536334355
44100000,-96.4904502765019
44150000,-102.075098408826
44200000,-95.0585197345097
44250000,-101.775698079236
44300000,-93.6412834063841
44350000,-98.6673759356816
44400000,-93.349970234997
44450000,-99.9458869830449
44500000,-93.2115272418327
44550000,-98.2795127765019
44600000,-92.9018424884139
44650000,-102.196443928846
44700000,-96.983400715955
44750000,-100.432321919568
44800000,-94.6871818438846
44850000,-106.939173115857
44900000,-96.4772132769902
44950000,-97.2612480059941
45000000,-96.3982948199589
45050000,-107.499376668103
45100000,-100.193964375623
45150000,-105.466265095838
45200000,-98.2350868121465
45250000,-98.1327918902715
45300000,-96.9957069293339
45350000,-103.31013716615
45400000,-97.186510457166
45450000,-97.1437477008183
45500000,-95.2849525348027
45550000,-99.6848777667363
45600000,-96.5517066851933
45650000,-96.4303001300175
45700000,-92.4063896075522
45750000,-95.1203712359745
45800000,-93.2233604327507
45850000,-111.425394429334
45900000,-97.5077613726933
45950000,-100.009348286756
46000000,-96.1434425250371
46050000,-97.2280677691777
46100000,-100.125788106092
46150000,-100.376993550428
46200000,-95.6122611895878
46250000,-96.2838539019902
46300000,-97.4934257403691
46350000,-109.852709187635
46400000,-98.1516517535527
46450000,-106.016802205213
46500000,-96.4426444903691
46550000,-99.5637840167363
46600000,-96.7561897174199
46650000,-100.499079121717
46700000,-93.3884300128291
46750000,-100.23275221742
46800000,-93.994478596814
46850000,-102.174181355603
46900000,-92.7462791339212
46950000,-95.3279670611698
47000000,-98.5931571856816
47050000,-106.876482380994
47100000,-98.9765113726933
47150000,-104.978601826795
47200000,-97.8473762408574
47250000,-98.7681068316777
47300000,-96.1427787677129
47350000,-107.028520955213
47400000,-96.0315269366582
47450000,-98.5801490680058
47500000,-93.7375129596068
47550000,-96.8027900592168
47600000,-93.4755958453487
47650000,-97.9387306109746
47700000,-100.35505904115
47750000,-101.471292866834
47800000,-96.6499656573613
47850000,-107.573923482068
47900000,-97.4654716388066
47950000,-103.860750569471
48000000,-91.3100990191541
48050000,-97.2195838824589
48100000,-91.215753926377
48150000,-105.26098860658
48200000,-96.7973197833379
48250000,-103.372652424939
48300000,-98.1397727862676
48350000,-103.922846211561
48400000,-98.8913291827519
48450000,-99.5688041583379
48500000,-95.7521385089238
48550000,-101.538156880506
48600000,-95.8892997638066
48650000,-108.713068379529
48700000,-101.824365986951
48750000,-102.498163594373
48800000,-99.1055625811894
48850000,-107.934214009412
48900000,-100.336298359998
48950000,-100.05688704408
49000000,-95.7603095904667
49050000,-96.4355796710332
49100000,-92.9099449054062
49150000,-98.9700950518926
49200000,-102.671831502088
49250000,-107.207720173963
49300000,-100.162485493787
49350000,-109.501917256482
49400000,-105.164919270643
49450000,-108.580767048963
49500000,-96.4541725055058
49550000,-96.8163551226933
49600000,-96.1488975421269
49650000,-101.256571187146
49700000,-96.1956581012089
49750000,-96.9444145099004
49800000,-94.9489234820682
49850000,-106.748194111951
49900000,-97.966295613416
49950000,-97.7971214190801
50000000,-94.457437886365
